Timestamp,Temp_MRC_air,Temp_MRC_surf,Temp_MRC_+000.07m,Temp_MRC_+000.13m,Temp_MRC_+000.20m,Temp_MRC_+000.28m,Temp_MRC_+000.35m,Temp_MRC_+000.42m,Temp_MRC_+000.51m,Temp_MRC_+000.58m,Temp_MRC_+000.74m,Temp_MRC_+000.89m,Temp_MRC_+001.10m,Temp_107_+000.15m,Temp_107_+000.30m,Temp_107_+000.60m
2019-06-01,  -0.55,  -0.13,   0.76,   0.87,   0.29,  -0.12,  -0.35,  -0.58,  -0.84,  -1.07,  -1.45,  -2.02,  -2.49,  -0.19,  -0.93,  -1.74
2019-06-02,  -0.42,  -0.01,   1.52,   1.67,   0.75,  -0.09,  -0.34,  -0.57,  -0.82,  -1.04,  -1.42,  -1.98,  -2.45,  -0.24,  -0.97,  -1.73
2019-06-03,  -0.04,   0.08,   1.64,   1.77,   0.92,  -0.06,  -0.34,  -0.56,  -0.80,  -1.03,  -1.39,  -1.95,  -2.40,  -0.28,  -0.99,  -1.71
2019-06-04,   0.09,   0.08,   1.48,   1.62,   0.89,  -0.05,  -0.34,  -0.56,  -0.80,  -1.01,  -1.37,  -1.91,  -2.36,  -0.29,  -1.00,  -1.69
2019-06-05,   0.33,   0.27,   2.43,   2.56,   1.51,   0.03,  -0.34,  -0.55,  -0.77,  -0.99,  -1.35,  -1.88,  -2.32,  -0.29,  -0.99,  -1.67
2019-06-06,   0.61,   0.36,   2.44,   2.58,   1.67,   0.08,  -0.33,  -0.53,  -0.77,  -0.97,  -1.32,  -1.85,  -2.29,  -0.28,  -0.98,  -1.65
2019-06-07,   3.66,   1.22,   7.93,   7.73,   4.45,   0.56,  -0.32,  -0.53,  -0.75,  -0.96,  -1.30,  -1.82,  -2.25,  -0.27,  -0.95,  -1.61
2019-06-08,   4.77,   1.78,   9.82,   9.43,   5.74,   1.01,  -0.30,  -0.51,  -0.74,  -0.94,  -1.28,  -1.80,  -2.22,  -0.24,  -0.93,  -1.59
2019-06-09,   1.47,   1.11,   4.91,   4.85,   3.16,   0.68,  -0.29,  -0.50,  -0.72,  -0.92,  -1.26,  -1.76,  -2.19,  -0.21,  -0.91,  -1.56
2019-06-10,   0.41,   0.60,   2.71,   2.87,   1.78,   0.36,  -0.27,  -0.49,  -0.70,  -0.90,  -1.23,  -1.74,  -2.15,  -0.18,  -0.89,  -1.53
2019-06-11,   5.78,   2.18,   8.40,   7.97,   5.60,   1.42,  -0.24,  -0.47,  -0.68,  -0.87,  -1.21,  -1.71,  -2.12,  -0.15,  -0.85,  -1.50
2019-06-12,   2.48,   1.36,   6.15,   6.02,   3.75,   0.99,  -0.22,  -0.45,  -0.66,  -0.85,  -1.18,  -1.68,  -2.08,  -0.13,  -0.83,  -1.47
2019-06-13,   2.02,   0.99,   3.89,   3.90,   2.48,   0.72,  -0.21,  -0.43,  -0.64,  -0.83,  -1.16,  -1.65,  -2.05,  -0.10,  -0.81,  -1.44
2019-06-14,   2.00,   1.40,   5.83,   6.04,   3.49,   1.05,  -0.18,  -0.42,  -0.62,  -0.81,  -1.14,  -1.62,  -2.02,  -0.09,  -0.78,  -1.41
2019-06-15,   4.92,   1.97,  10.34,   9.86,   5.40,   1.54,  -0.15,  -0.40,  -0.60,  -0.79,  -1.11,  -1.60,  -2.00,  -0.06,  -0.75,  -1.38
2019-06-16,   7.40,   2.92,   9.29,   9.13,   6.43,   2.25,  -0.05,  -0.39,  -0.59,  -0.78,  -1.09,  -1.57,  -1.97,  -0.02,  -0.73,  -1.36
2019-06-17,   0.99,   1.40,   2.91,   3.06,   2.21,   1.17,  -0.02,  -0.37,  -0.57,  -0.76,  -1.07,  -1.54,  -1.93,   0.02,  -0.71,  -1.33
2019-06-18,   3.60,   1.99,   8.76,   8.75,   5.11,   1.59,   0.04,  -0.36,  -0.56,  -0.74,  -1.04,  -1.52,  -1.90,   0.07,  -0.68,  -1.31
2019-06-19,   6.32,   3.31,  10.31,   9.86,   6.38,   2.76,   0.39,  -0.34,  -0.53,  -0.71,  -1.02,  -1.49,  -1.88,   0.24,  -0.66,  -1.28
2019-06-20,   7.78,   3.89,  11.35,  11.21,   7.85,   3.18,   0.65,  -0.31,  -0.51,  -0.69,  -1.00,  -1.46,  -1.85,   0.46,  -0.63,  -1.25
2019-06-21,  14.44,   6.83,  16.73,  16.01,  12.67,   5.77,   1.79,  -0.27,  -0.49,  -0.67,  -0.97,  -1.43,  -1.82,   0.92,  -0.60,  -1.21
2019-06-22,  10.88,   6.61,  14.25,  13.79,  11.03,   5.81,   2.41,  -0.18,  -0.46,  -0.64,  -0.95,  -1.41,  -1.78,   1.38,  -0.58,  -1.19
2019-06-23,   7.33,   5.50,  10.32,  10.28,   8.33,   4.90,   2.35,  -0.05,  -0.39,  -0.60,  -0.92,  -1.38,  -1.76,   1.58,  -0.55,  -1.17
2019-06-24,   3.68,   3.55,   4.23,   4.07,   3.86,   3.33,   1.98,   0.11,  -0.35,  -0.56,  -0.88,  -1.35,  -1.74,   1.54,  -0.52,  -1.15
2019-06-25,   2.71,   2.04,   5.00,   4.70,   3.64,   1.93,   0.97,   0.04,  -0.34,  -0.53,  -0.85,  -1.32,  -1.70,   0.92,  -0.48,  -1.11
2019-06-26,   6.58,   3.78,  10.25,   9.82,   6.80,   3.42,   1.64,   0.20,  -0.33,  -0.52,  -0.83,  -1.30,  -1.68,   1.17,  -0.45,  -1.08
2019-06-27,   6.96,   4.13,   9.55,   9.05,   6.68,   3.81,   2.07,   0.41,  -0.31,  -0.49,  -0.80,  -1.26,  -1.65,   1.53,  -0.43,  -1.05
2019-06-28,   3.14,   3.26,   5.06,   5.06,   4.26,   3.05,   1.87,   0.49,  -0.29,  -0.47,  -0.77,  -1.24,  -1.61,   1.52,  -0.41,  -1.03
2019-06-29,   4.28,   3.16,   5.06,   4.96,   4.43,   2.95,   1.73,   0.50,  -0.27,  -0.46,  -0.75,  -1.21,  -1.59,   1.32,  -0.39,  -1.00
2019-06-30,   5.59,   4.04,   7.32,   7.26,   6.29,   3.76,   2.05,   0.65,  -0.24,  -0.43,  -0.73,  -1.19,  -1.56,   1.33,  -0.37,  -0.98
2019-07-01,  11.54,   6.19,  12.36,  11.99,  10.50,   5.73,   3.08,   1.13,  -0.21,  -0.42,  -0.72,  -1.17,  -1.54,   1.83,  -0.34,  -0.95
2019-07-02,  13.36,   7.99,  15.60,  15.02,  12.39,   7.55,   4.45,   1.91,  -0.11,  -0.40,  -0.69,  -1.15,  -1.51,   2.47,  -0.32,  -0.92
2019-07-03,  11.04,   7.56,  11.67,  11.52,  10.63,   7.30,   4.79,   2.42,   0.16,  -0.37,  -0.67,  -1.12,  -1.48,   2.90,  -0.30,  -0.90
2019-07-04,  16.07,   9.28,  18.03,  17.33,  14.82,   8.95,   5.55,   2.88,   0.58,  -0.33,  -0.65,  -1.10,  -1.47,   3.11,  -0.27,  -0.88
2019-07-05,  12.52,   9.34,  13.58,  13.37,  12.43,   9.17,   6.42,   3.71,   1.20,  -0.27,  -0.61,  -1.06,  -1.43,   3.78,  -0.25,  -0.86
2019-07-06,  11.81,   8.65,  14.15,  14.02,  12.58,   8.58,   5.95,   3.64,   1.47,  -0.19,  -0.57,  -1.02,  -1.40,   3.73,  -0.22,  -0.83
